vendor_id,name,registration_no,state,total_projects_handled,flagged_before
VEN-00379,Laxmi Engineering Works,REG-OD-529156,Odisha,2,False
VEN-00380,Krishna Contractors,REG-HR-257738,Haryana,1,False
VEN-00381,Shree Sai Infra Projects,REG-PB-902046,Punjab,3,False
VEN-00382,Metro Engineering Works,REG-JH-315988,Jharkhand,5,False
VEN-00383,Reliable Engineering Works,REG-UP-935049,Uttar Pradesh,7,False
VEN-00384,Bharat Engineering Works,REG-PB-440282,Punjab,8,False
VEN-00385,Trust Works & Co,REG-GJ-985521,Gujarat,3,False
VEN-00386,Golden Infrastructure Ltd,REG-MH-450444,Maharashtra,5,False
VEN-00387,Om Infra Projects,REG-CG-329245,Chhattisgarh,5,False
VEN-00388,Vishwakarma Contractors,REG-HR-605904,Haryana,15,False
VEN-00389,Green Valley Engineering Works,REG-OD-745359,Odisha,2,False
VEN-00390,Golden Constructions,REG-KA-699995,Karnataka,4,False
VEN-00391,Silver Line Infra Projects,REG-KA-803102,Karnataka,7,False
VEN-00392,Ananya Contractors,REG-KA-898698,Karnataka,4,False
VEN-00393,Star Enterprises,REG-MP-671257,Madhya Pradesh,3,False
VEN-00394,Metro Developers,REG-AP-381035,Andhra Pradesh,15,True
VEN-00395,Green Valley Contractors,REG-GJ-830299,Gujarat,2,False
VEN-00396,National Constructions,REG-KL-186202,Kerala,2,False
VEN-00397,Jai Bharat Engineering Works,REG-GJ-305445,Gujarat,4,False
VEN-00398,Shakti Enterprises,REG-UP-996038,Uttar Pradesh,3,False
VEN-00399,Prime Developers,REG-OD-276154,Odisha,6,False
VEN-00400,Vishwakarma Infra Projects,REG-RJ-816947,Rajasthan,6,False
VEN-00401,Vishwakarma Infrastructure Ltd,REG-JH-344744,Jharkhand,3,False
VEN-00402,Sundar Associates,REG-AS-390503,Assam,6,False
VEN-00403,Jai Bharat Builders,REG-RJ-653481,Rajasthan,1,False
VEN-00404,Laxmi Developers,REG-GJ-120163,Gujarat,3,False
VEN-00405,Metro Enterprises,REG-WB-635817,West Bengal,6,False
VEN-00406,Krishna Associates,REG-GJ-321348,Gujarat,3,False
VEN-00407,Jai Bharat Associates,REG-BR-370975,Bihar,7,False
VEN-00408,Laxmi Developers,REG-CG-823973,Chhattisgarh,8,False
VEN-00409,National Builders,REG-GJ-931656,Gujarat,307,True
VEN-00410,Ganesh Infra Projects,REG-RJ-315279,Rajasthan,4,False
VEN-00411,Shree Sai Enterprises,REG-PB-179529,Punjab,5,False
VEN-00412,Trust Constructions,REG-MH-941335,Maharashtra,4,False
VEN-00413,New Age Developers,REG-PB-489113,Punjab,9,False
VEN-00414,Ganesh Engineering Works,REG-RJ-485027,Rajasthan,3,False
VEN-00415,Krishna Associates,REG-HR-898595,Haryana,4,False
VEN-00416,Metro Enterprises,REG-CG-578787,Chhattisgarh,5,False
VEN-00417,Om Contractors,REG-AS-299287,Assam,5,False
VEN-00418,Sundar Developers,REG-JH-896518,Jharkhand,4,False
VEN-00419,Sundar Developers,REG-CG-188966,Chhattisgarh,7,False
VEN-00420,New Age Infra Projects,REG-RJ-251555,Rajasthan,6,False
VEN-00421,National Associates,REG-AS-255247,Assam,7,False
VEN-00422,Reliable Infra Projects,REG-PB-919328,Punjab,7,False
VEN-00423,Metro Enterprises,REG-AS-942791,Assam,7,False
VEN-00424,Golden Developers,REG-GJ-558220,Gujarat,8,False
VEN-00425,Sundar Enterprises,REG-MH-805411,Maharashtra,4,False
VEN-00426,Divya Enterprises,REG-TG-942320,Telangana,5,False
VEN-00427,United Works & Co,REG-CG-526918,Chhattisgarh,2,False
VEN-00428,National Infra Projects,REG-CG-339601,Chhattisgarh,9,False
VEN-00429,Vishwakarma Contractors,REG-OD-175059,Odisha,5,False
VEN-00430,Krishna Infra Projects,REG-TN-897653,Tamil Nadu,4,False
VEN-00431,Krishna Developers,REG-JH-204620,Jharkhand,5,False
VEN-00432,Golden Engineering Works,REG-HR-902552,Haryana,5,False
VEN-00433,Ganesh Contractors,REG-TN-130445,Tamil Nadu,2,False
VEN-00434,Golden Constructions,REG-AS-771099,Assam,5,False
VEN-00435,Trust Works & Co,REG-GJ-217097,Gujarat,6,False
VEN-00436,Jai Bharat Constructions,REG-CG-981244,Chhattisgarh,10,False
VEN-00437,Metro Builders,REG-AP-337362,Andhra Pradesh,8,False
VEN-00438,Krishna Builders,REG-CG-915954,Chhattisgarh,8,False
VEN-00439,Krishna Associates,REG-MP-590776,Madhya Pradesh,8,False
VEN-00440,Prime Infrastructure Ltd,REG-KL-992930,Kerala,8,False
VEN-00441,Bharat Infrastructure Ltd,REG-KA-179545,Karnataka,289,True
VEN-00442,Elite Constructions,REG-GJ-661859,Gujarat,7,False
VEN-00443,Prime Infra Projects,REG-GJ-445064,Gujarat,4,False
VEN-00444,Om Associates,REG-TG-994843,Telangana,6,False
VEN-00445,New Age Infrastructure Ltd,REG-UP-436556,Uttar Pradesh,4,False
VEN-00446,Om Infrastructure Ltd,REG-AS-586684,Assam,8,False
VEN-00447,Shree Sai Infrastructure Ltd,REG-WB-445919,West Bengal,3,False
VEN-00448,Ananya Infra Projects,REG-GJ-872958,Gujarat,5,False
VEN-00449,Sundar Enterprises,REG-MH-220504,Maharashtra,2,False
VEN-00450,Shree Sai Infrastructure Ltd,REG-OD-759404,Odisha,8,False
VEN-00451,Laxmi Constructions,REG-UP-553162,Uttar Pradesh,6,False
VEN-00452,Golden Works & Co,REG-TN-250241,Tamil Nadu,6,False
VEN-00453,Divya Developers,REG-KL-521241,Kerala,5,False
VEN-00454,Elite Engineering Works,REG-TN-129244,Tamil Nadu,5,False
VEN-00455,Shakti Enterprises,REG-CG-408450,Chhattisgarh,6,False
VEN-00456,Shree Sai Enterprises,REG-MP-127665,Madhya Pradesh,7,False
VEN-00457,Trust Enterprises,REG-TN-798823,Tamil Nadu,2,False
VEN-00458,New Age Builders,REG-TN-293321,Tamil Nadu,5,False
VEN-00459,Bharat Contractors,REG-MP-777833,Madhya Pradesh,4,False
VEN-00460,Shakti Builders,REG-AS-324780,Assam,4,False
VEN-00461,Jai Bharat Constructions,REG-AS-992487,Assam,3,False
VEN-00462,Om Enterprises,REG-OD-873920,Odisha,8,False
VEN-00463,United Works & Co,REG-OD-244240,Odisha,1,False
VEN-00464,United Engineering Works,REG-OD-417439,Odisha,4,False
VEN-00465,National Builders,REG-CG-211915,Chhattisgarh,5,False
VEN-00466,Ananya Works & Co,REG-OD-945723,Odisha,8,False
VEN-00467,Laxmi Constructions,REG-OD-228095,Odisha,3,False
VEN-00468,Ananya Contractors,REG-CG-923135,Chhattisgarh,3,False
VEN-00469,Krishna Associates,REG-GJ-365995,Gujarat,1,False
VEN-00470,Laxmi Infra Projects,REG-MH-237482,Maharashtra,4,False
VEN-00471,Golden Builders,REG-WB-130683,West Bengal,6,False
VEN-00472,Reliable Developers,REG-BR-802884,Bihar,4,False
VEN-00473,United Enterprises,REG-KA-414038,Karnataka,7,False
VEN-00474,Shree Sai Contractors,REG-JH-592880,Jharkhand,2,False
VEN-00475,New Age Infrastructure Ltd,REG-JH-176067,Jharkhand,5,False
VEN-00476,Silver Line Infra Projects,REG-HR-837061,Haryana,4,False
VEN-00477,National Works & Co,REG-KA-474074,Karnataka,11,False
VEN-00478,Prime Enterprises,REG-KL-197578,Kerala,1,False
VEN-00479,Reliable Contractors,REG-TN-218015,Tamil Nadu,0,False
VEN-00480,Ananya Developers,REG-JH-597733,Jharkhand,2,False
VEN-00481,Star Infra Projects,REG-RJ-876576,Rajasthan,7,False
VEN-00482,Jai Bharat Works & Co,REG-TG-787562,Telangana,4,False
VEN-00483,Prime Infra Projects,REG-BR-465027,Bihar,9,False
VEN-00484,Ganesh Works & Co,REG-MP-285604,Madhya Pradesh,6,False
VEN-00485,Om Works & Co,REG-JH-789366,Jharkhand,4,False
VEN-00486,Ananya Contractors,REG-TG-695898,Telangana,4,False
VEN-00487,Trust Infra Projects,REG-TN-955615,Tamil Nadu,4,False
VEN-00488,Sundar Works & Co,REG-KL-148032,Kerala,6,False
VEN-00489,Prime Developers,REG-RJ-471533,Rajasthan,4,False
VEN-00490,Reliable Engineering Works,REG-MH-488320,Maharashtra,7,False
VEN-00491,Divya Enterprises,REG-KA-840180,Karnataka,6,False
VEN-00492,Krishna Contractors,REG-RJ-907336,Rajasthan,2,False
VEN-00493,Sundar Enterprises,REG-AS-435886,Assam,4,False
VEN-00494,Shakti Developers,REG-PB-542434,Punjab,2,False
VEN-00495,Jai Bharat Infrastructure Ltd,REG-RJ-256729,Rajasthan,5,False
VEN-00496,Laxmi Infra Projects,REG-TN-970947,Tamil Nadu,7,False
VEN-00497,Prime Developers,REG-AS-723714,Assam,6,False
VEN-00498,Krishna Infrastructure Ltd,REG-KL-535552,Kerala,4,False
VEN-00499,Green Valley Enterprises,REG-JH-462759,Jharkhand,10,False
VEN-00500,Krishna Constructions,REG-PB-432843,Punjab,2,False
VEN-00501,Reliable Contractors,REG-PB-618443,Punjab,4,False
VEN-00502,Krishna Constructions,REG-AP-975425,Andhra Pradesh,3,False
VEN-00503,Vishwakarma Works & Co,REG-AS-516198,Assam,3,False
VEN-00504,Divya Works & Co,REG-TG-649477,Telangana,5,False
VEN-00505,Trust Builders,REG-WB-144975,West Bengal,8,False
VEN-00506,Om Developers,REG-MH-569644,Maharashtra,4,False
VEN-00507,Jai Bharat Builders,REG-KL-736765,Kerala,3,False
VEN-00508,New Age Works & Co,REG-AP-339635,Andhra Pradesh,4,False
VEN-00509,National Enterprises,REG-UP-758365,Uttar Pradesh,4,False
VEN-00510,Shree Sai Infra Projects,REG-AP-607216,Andhra Pradesh,7,False
VEN-00511,Elite Associates,REG-TN-333737,Tamil Nadu,4,False
VEN-00512,Ananya Works & Co,REG-KL-525206,Kerala,7,False
VEN-00513,Shakti Builders,REG-AP-963306,Andhra Pradesh,5,False
VEN-00514,Metro Enterprises,REG-CG-116609,Chhattisgarh,2,False
VEN-00515,Trust Enterprises,REG-PB-725713,Punjab,2,False
VEN-00516,Ananya Infra Projects,REG-HR-308106,Haryana,7,False
VEN-00517,Om Developers,REG-BR-819728,Bihar,6,False
VEN-00518,Golden Builders,REG-MH-310716,Maharashtra,7,False
VEN-00519,Trust Infra Projects,REG-AS-524997,Assam,5,False
VEN-00520,Elite Builders,REG-WB-489601,West Bengal,296,True
VEN-00521,Bharat Infrastructure Ltd,REG-AS-903200,Assam,8,False
VEN-00522,Shakti Developers,REG-PB-102650,Punjab,2,False
VEN-00523,Jai Bharat Works & Co,REG-AP-713915,Andhra Pradesh,8,False
VEN-00524,Divya Works & Co,REG-TN-244876,Tamil Nadu,8,False
VEN-00525,Prime Works & Co,REG-TG-289830,Telangana,2,False
VEN-00526,Krishna Infrastructure Ltd,REG-TN-504388,Tamil Nadu,7,True
VEN-00527,Vishwakarma Contractors,REG-OD-951058,Odisha,7,False
VEN-00528,Shree Sai Builders,REG-MH-193052,Maharashtra,2,False
VEN-00529,Reliable Associates,REG-RJ-751474,Rajasthan,283,True
VEN-00530,Bharat Infrastructure Ltd,REG-KL-723928,Kerala,8,False
VEN-00531,Ganesh Contractors,REG-GJ-738031,Gujarat,2,False
VEN-00532,National Developers,REG-TN-745342,Tamil Nadu,4,False
VEN-00533,Reliable Engineering Works,REG-GJ-129504,Gujarat,5,False
VEN-00534,Metro Contractors,REG-UP-924197,Uttar Pradesh,4,False
VEN-00535,Bharat Builders,REG-AP-576683,Andhra Pradesh,2,False
VEN-00536,Krishna Builders,REG-TN-221075,Tamil Nadu,3,False
VEN-00537,Divya Associates,REG-KA-479535,Karnataka,3,False
VEN-00538,Trust Builders,REG-PB-900495,Punjab,4,False
VEN-00539,Silver Line Infra Projects,REG-BR-962435,Bihar,2,False
VEN-00540,Golden Engineering Works,REG-UP-737429,Uttar Pradesh,2,False
VEN-00541,Ananya Contractors,REG-GJ-256434,Gujarat,6,False
VEN-00542,Jai Bharat Infrastructure Ltd,REG-HR-257663,Haryana,4,False
VEN-00543,Golden Enterprises,REG-BR-497104,Bihar,1,False
VEN-00544,Bharat Associates,REG-MP-497282,Madhya Pradesh,3,False
VEN-00545,Elite Constructions,REG-CG-574597,Chhattisgarh,2,False
VEN-00546,Silver Line Associates,REG-BR-842599,Bihar,2,False
VEN-00547,Reliable Developers,REG-WB-694429,West Bengal,5,False
VEN-00548,New Age Builders,REG-HR-195888,Haryana,9,False
VEN-00549,Ananya Builders,REG-AP-920051,Andhra Pradesh,5,False
VEN-00550,Shree Sai Builders,REG-TN-449235,Tamil Nadu,5,False
VEN-00551,Vishwakarma Developers,REG-BR-316067,Bihar,4,False
VEN-00552,Trust Enterprises,REG-JH-382017,Jharkhand,2,False
VEN-00553,New Age Works & Co,REG-AP-848222,Andhra Pradesh,7,False
VEN-00554,Star Engineering Works,REG-KA-856931,Karnataka,5,False
VEN-00555,Shakti Developers,REG-CG-375791,Chhattisgarh,4,False
VEN-00556,Ganesh Constructions,REG-TN-839320,Tamil Nadu,6,False
VEN-00557,Sundar Engineering Works,REG-JH-143825,Jharkhand,5,False
VEN-00558,Elite Infrastructure Ltd,REG-AP-200574,Andhra Pradesh,3,False
VEN-00559,Laxmi Works & Co,REG-TG-926383,Telangana,9,False
VEN-00560,Ananya Contractors,REG-CG-760957,Chhattisgarh,2,False
VEN-00561,Silver Line Works & Co,REG-KL-344746,Kerala,6,False
VEN-00562,Shree Sai Enterprises,REG-TN-777012,Tamil Nadu,8,False
VEN-00563,National Builders,REG-RJ-168618,Rajasthan,10,False
VEN-00564,United Contractors,REG-KA-949479,Karnataka,6,False
VEN-00565,Bharat Constructions,REG-AP-818260,Andhra Pradesh,6,False
VEN-00566,Ananya Contractors,REG-TN-568915,Tamil Nadu,4,False
VEN-00567,National Enterprises,REG-WB-876612,West Bengal,0,False
VEN-00568,National Enterprises,REG-UP-728949,Uttar Pradesh,6,False
VEN-00569,Star Enterprises,REG-UP-927111,Uttar Pradesh,4,False
VEN-00570,Reliable Infra Projects,REG-WB-619532,West Bengal,7,False
VEN-00571,Golden Infra Projects,REG-TG-147371,Telangana,5,False
VEN-00572,Reliable Infrastructure Ltd,REG-MP-572854,Madhya Pradesh,9,False
VEN-00573,Prime Works & Co,REG-MH-834595,Maharashtra,12,False
VEN-00574,Divya Contractors,REG-GJ-245968,Gujarat,3,False
VEN-00575,Laxmi Works & Co,REG-WB-926696,West Bengal,4,False
VEN-00576,Golden Contractors,REG-OD-310924,Odisha,5,False
VEN-00577,United Associates,REG-HR-370309,Haryana,6,False
VEN-00578,Trust Contractors,REG-GJ-114301,Gujarat,6,False
VEN-00579,Vishwakarma Developers,REG-KA-331761,Karnataka,2,False
VEN-00580,Reliable Enterprises,REG-WB-641826,West Bengal,4,False
VEN-00581,Divya Infrastructure Ltd,REG-MH-952960,Maharashtra,6,True
VEN-00582,New Age Developers,REG-CG-393860,Chhattisgarh,4,False
VEN-00583,Green Valley Infrastructure Ltd,REG-PB-149851,Punjab,8,False
VEN-00584,Star Infrastructure Ltd,REG-BR-919078,Bihar,5,False
VEN-00585,Sundar Infrastructure Ltd,REG-MP-688533,Madhya Pradesh,7,False
VEN-00586,Krishna Infrastructure Ltd,REG-CG-501098,Chhattisgarh,6,False
VEN-00587,Vishwakarma Contractors,REG-CG-931963,Chhattisgarh,4,False
VEN-00588,Krishna Builders,REG-TG-558347,Telangana,0,False
VEN-00589,Silver Line Contractors,REG-AS-935880,Assam,5,False
VEN-00590,Ananya Associates,REG-MH-125682,Maharashtra,5,False
VEN-00591,Golden Builders,REG-JH-537102,Jharkhand,4,False
VEN-00592,Golden Enterprises,REG-OD-553746,Odisha,4,False
VEN-00593,Prime Engineering Works,REG-UP-602115,Uttar Pradesh,7,False
VEN-00594,Elite Builders,REG-AS-856839,Assam,3,False
VEN-00595,Krishna Developers,REG-RJ-346812,Rajasthan,5,False
VEN-00596,Shakti Contractors,REG-MH-207170,Maharashtra,5,False
VEN-00597,Metro Developers,REG-UP-463748,Uttar Pradesh,8,False
VEN-00598,Shree Sai Works & Co,REG-AP-183381,Andhra Pradesh,7,False
VEN-00599,Shakti Builders,REG-MH-472836,Maharashtra,6,False
VEN-00600,Reliable Engineering Works,REG-HR-542156,Haryana,4,False
VEN-00601,Metro Infra Projects,REG-AP-778244,Andhra Pradesh,2,False
VEN-00602,United Contractors,REG-BR-368182,Bihar,3,False
VEN-00603,New Age Developers,REG-MH-167538,Maharashtra,8,False
VEN-00604,Golden Infra Projects,REG-PB-134657,Punjab,7,False
VEN-00605,Shakti Associates,REG-OD-738605,Odisha,5,False
VEN-00606,Prime Builders,REG-UP-625013,Uttar Pradesh,3,False
VEN-00607,Elite Contractors,REG-RJ-800894,Rajasthan,9,False
VEN-00608,Vishwakarma Engineering Works,REG-UP-530866,Uttar Pradesh,6,False
VEN-00609,Krishna Developers,REG-UP-293070,Uttar Pradesh,8,False
VEN-00610,Om Constructions,REG-UP-679777,Uttar Pradesh,9,False
VEN-00611,Sundar Engineering Works,REG-JH-191964,Jharkhand,4,False
VEN-00612,Prime Developers,REG-KL-683158,Kerala,6,False
VEN-00613,United Infrastructure Ltd,REG-KA-653273,Karnataka,3,False
VEN-00614,Bharat Associates,REG-KA-946879,Karnataka,5,False
VEN-00615,Laxmi Engineering Works,REG-MP-238847,Madhya Pradesh,3,False
VEN-00616,Laxmi Enterprises,REG-WB-567540,West Bengal,6,False
VEN-00617,United Contractors,REG-GJ-987157,Gujarat,3,False
VEN-00618,Ananya Developers,REG-RJ-615167,Rajasthan,2,False
VEN-00619,Star Enterprises,REG-TG-508268,Telangana,3,False
VEN-00620,New Age Works & Co,REG-HR-976642,Haryana,6,False
VEN-00621,Sundar Infrastructure Ltd,REG-TN-313417,Tamil Nadu,7,False
VEN-00622,Star Constructions,REG-CG-809509,Chhattisgarh,4,False
VEN-00623,Vishwakarma Associates,REG-OD-407746,Odisha,4,False
VEN-00624,Metro Builders,REG-GJ-470897,Gujarat,5,False
VEN-00625,Shakti Developers,REG-PB-847254,Punjab,3,False
VEN-00626,Vishwakarma Works & Co,REG-HR-207327,Haryana,6,False
VEN-00627,Metro Contractors,REG-WB-461203,West Bengal,3,False
VEN-00628,Golden Contractors,REG-RJ-153573,Rajasthan,6,False
VEN-00629,Reliable Associates,REG-UP-691150,Uttar Pradesh,7,False
VEN-00630,Sundar Builders,REG-TN-671987,Tamil Nadu,3,False
VEN-00631,Golden Developers,REG-RJ-346038,Rajasthan,6,False
VEN-00632,Star Builders,REG-BR-536308,Bihar,5,False
VEN-00633,Golden Works & Co,REG-CG-964978,Chhattisgarh,10,False
VEN-00634,Sundar Enterprises,REG-RJ-418669,Rajasthan,3,False
VEN-00635,Ananya Constructions,REG-PB-370893,Punjab,4,False
VEN-00636,New Age Engineering Works,REG-KA-351882,Karnataka,10,True
VEN-00637,New Age Works & Co,REG-OD-765242,Odisha,0,False
VEN-00638,Jai Bharat Associates,REG-MP-173781,Madhya Pradesh,9,False
VEN-00639,Sundar Builders,REG-WB-223507,West Bengal,3,False
VEN-00640,Trust Infra Projects,REG-HR-879454,Haryana,2,False
VEN-00641,Reliable Constructions,REG-PB-454608,Punjab,4,False
VEN-00642,Golden Constructions,REG-PB-434490,Punjab,6,False
VEN-00643,Trust Constructions,REG-AP-781042,Andhra Pradesh,10,False
VEN-00644,Sundar Engineering Works,REG-TG-202324,Telangana,9,False
VEN-00645,Metro Developers,REG-AP-354672,Andhra Pradesh,7,False
VEN-00646,Divya Works & Co,REG-KA-341730,Karnataka,6,False
VEN-00647,Om Infrastructure Ltd,REG-OD-322289,Odisha,4,False
VEN-00648,Bharat Developers,REG-TN-970897,Tamil Nadu,6,False
VEN-00649,Om Enterprises,REG-AS-181742,Assam,2,False
VEN-00650,Trust Developers,REG-OD-734194,Odisha,6,False
VEN-00651,Golden Builders,REG-JH-484662,Jharkhand,11,False
VEN-00652,Laxmi Developers,REG-MP-649522,Madhya Pradesh,5,False
VEN-00653,Vishwakarma Builders,REG-PB-994855,Punjab,9,False
VEN-00654,Sundar Contractors,REG-PB-274782,Punjab,4,False
VEN-00655,Elite Constructions,REG-RJ-643148,Rajasthan,7,False
VEN-00656,Green Valley Constructions,REG-KL-927488,Kerala,6,False
VEN-00657,Elite Engineering Works,REG-RJ-270285,Rajasthan,6,False
VEN-00658,Vishwakarma Developers,REG-GJ-183152,Gujarat,8,False
VEN-00659,Ganesh Infrastructure Ltd,REG-BR-675652,Bihar,6,False
VEN-00660,Bharat Infra Projects,REG-HR-174041,Haryana,7,False
VEN-00661,Green Valley Constructions,REG-HR-529038,Haryana,3,False
VEN-00662,Silver Line Associates,REG-UP-465262,Uttar Pradesh,8,False
VEN-00663,Ganesh Developers,REG-PB-677169,Punjab,8,False
VEN-00664,Sundar Builders,REG-MH-814680,Maharashtra,1,False
VEN-00665,Krishna Enterprises,REG-MH-634365,Maharashtra,7,False
VEN-00666,Laxmi Contractors,REG-MH-377133,Maharashtra,5,False
VEN-00667,Star Works & Co,REG-TN-916987,Tamil Nadu,8,False
VEN-00668,Bharat Engineering Works,REG-HR-492842,Haryana,3,False
VEN-00669,New Age Infrastructure Ltd,REG-AS-285099,Assam,5,False
VEN-00670,Shree Sai Infra Projects,REG-KL-946521,Kerala,6,False
VEN-00671,Sundar Enterprises,REG-WB-809512,West Bengal,6,False
VEN-00672,Elite Constructions,REG-TG-327410,Telangana,3,False
VEN-00673,Sundar Infrastructure Ltd,REG-KA-253441,Karnataka,2,False
VEN-00674,United Infrastructure Ltd,REG-TG-262641,Telangana,5,False
VEN-00675,Golden Developers,REG-BR-891335,Bihar,5,False
VEN-00676,Shakti Infrastructure Ltd,REG-RJ-277427,Rajasthan,3,False
VEN-00677,Laxmi Developers,REG-TN-115730,Tamil Nadu,4,False
VEN-00678,Prime Contractors,REG-AP-514112,Andhra Pradesh,6,False
VEN-00679,Jai Bharat Engineering Works,REG-MH-519290,Maharashtra,4,False
VEN-00680,Laxmi Infra Projects,REG-GJ-608324,Gujarat,4,False
VEN-00681,Reliable Associates,REG-AP-393533,Andhra Pradesh,6,False
VEN-00682,Ananya Engineering Works,REG-KA-381691,Karnataka,7,False
VEN-00683,Elite Developers,REG-BR-788025,Bihar,8,False
VEN-00684,Laxmi Engineering Works,REG-WB-500178,West Bengal,5,False
VEN-00685,United Associates,REG-OD-205672,Odisha,9,False
VEN-00686,New Age Associates,REG-CG-942115,Chhattisgarh,7,False
VEN-00687,Krishna Infrastructure Ltd,REG-GJ-833869,Gujarat,7,False
VEN-00688,Reliable Infrastructure Ltd,REG-AP-725566,Andhra Pradesh,5,False
VEN-00689,Sundar Constructions,REG-RJ-458254,Rajasthan,7,False
VEN-00690,Bharat Developers,REG-GJ-334842,Gujarat,2,False
VEN-00691,Ananya Developers,REG-PB-691007,Punjab,6,False
VEN-00692,Ganesh Developers,REG-MH-203748,Maharashtra,5,False
VEN-00693,United Developers,REG-AS-679648,Assam,6,False
VEN-00694,Krishna Infrastructure Ltd,REG-BR-197064,Bihar,6,False
VEN-00695,Elite Builders,REG-TG-301740,Telangana,7,False
VEN-00696,Divya Engineering Works,REG-RJ-608316,Rajasthan,11,False
VEN-00697,Golden Constructions,REG-TG-297033,Telangana,6,False
VEN-00698,Metro Infra Projects,REG-UP-836205,Uttar Pradesh,4,False
VEN-00699,Silver Line Enterprises,REG-PB-166456,Punjab,5,False
VEN-00700,Golden Enterprises,REG-AP-252634,Andhra Pradesh,5,False
VEN-00701,Jai Bharat Engineering Works,REG-TG-104115,Telangana,7,False
VEN-00702,Prime Works & Co,REG-KL-463000,Kerala,1,False
VEN-00703,Shakti Infra Projects,REG-WB-849794,West Bengal,2,False
VEN-00704,United Works & Co,REG-MP-143121,Madhya Pradesh,5,False
VEN-00705,Golden Infrastructure Ltd,REG-WB-112638,West Bengal,320,True
VEN-00706,Golden Works & Co,REG-KA-627026,Karnataka,6,False
VEN-00707,Vishwakarma Developers,REG-KA-977325,Karnataka,7,True
VEN-00708,United Developers,REG-AP-453454,Andhra Pradesh,4,False
VEN-00709,Trust Associates,REG-TG-826962,Telangana,4,False
VEN-00710,Shree Sai Infrastructure Ltd,REG-KA-866270,Karnataka,6,False
VEN-00711,Sundar Enterprises,REG-TG-637798,Telangana,2,False
VEN-00712,Om Infra Projects,REG-AP-818651,Andhra Pradesh,5,False
VEN-00713,Green Valley Engineering Works,REG-KL-406990,Kerala,4,False
VEN-00714,Bharat Works & Co,REG-RJ-276336,Rajasthan,5,False
VEN-00715,Silver Line Associates,REG-UP-600586,Uttar Pradesh,2,False
VEN-00716,Krishna Enterprises,REG-AS-338513,Assam,5,False
VEN-00717,Om Engineering Works,REG-BR-379121,Bihar,4,False
VEN-00718,Jai Bharat Contractors,REG-MP-423296,Madhya Pradesh,4,False
VEN-00719,Green Valley Associates,REG-RJ-122815,Rajasthan,4,False
VEN-00720,Shree Sai Constructions,REG-RJ-331379,Rajasthan,4,False
VEN-00721,National Infrastructure Ltd,REG-TG-767904,Telangana,4,False
VEN-00722,Star Infra Projects,REG-RJ-206883,Rajasthan,3,False
VEN-00723,Shree Sai Enterprises,REG-MP-118269,Madhya Pradesh,4,False
VEN-00724,Silver Line Contractors,REG-RJ-466003,Rajasthan,2,False
VEN-00725,New Age Builders,REG-PB-727682,Punjab,4,False
VEN-00726,Golden Builders,REG-JH-779548,Jharkhand,5,False
VEN-00727,New Age Contractors,REG-MH-789692,Maharashtra,12,False
VEN-00728,Shree Sai Contractors,REG-CG-240628,Chhattisgarh,315,True
VEN-00729,National Builders,REG-BR-569221,Bihar,6,False
VEN-00730,Trust Infrastructure Ltd,REG-WB-550493,West Bengal,5,False
VEN-00731,Jai Bharat Developers,REG-WB-964434,West Bengal,4,False
VEN-00732,Elite Engineering Works,REG-MP-811699,Madhya Pradesh,1,False
VEN-00733,National Works & Co,REG-OD-342718,Odisha,6,False
VEN-00734,Reliable Constructions,REG-MP-776830,Madhya Pradesh,6,False
VEN-00735,Jai Bharat Builders,REG-HR-777067,Haryana,3,False
VEN-00736,Star Builders,REG-AS-598801,Assam,6,False
VEN-00737,Sundar Associates,REG-CG-669312,Chhattisgarh,9,False
VEN-00738,Golden Infra Projects,REG-AS-798189,Assam,6,False
VEN-00739,Sundar Associates,REG-JH-191098,Jharkhand,4,False
VEN-00740,Golden Works & Co,REG-HR-861032,Haryana,5,False
VEN-00741,Golden Developers,REG-PB-629257,Punjab,6,False
VEN-00742,Sundar Works & Co,REG-MP-236265,Madhya Pradesh,7,False
VEN-00743,Trust Contractors,REG-RJ-755415,Rajasthan,3,False
VEN-00744,Metro Developers,REG-AP-273925,Andhra Pradesh,7,False
VEN-00745,Om Works & Co,REG-GJ-616070,Gujarat,3,False
VEN-00746,Sundar Contractors,REG-MH-797335,Maharashtra,2,False
VEN-00747,Ganesh Infra Projects,REG-OD-732958,Odisha,9,False
VEN-00748,Divya Contractors,REG-HR-637286,Haryana,6,False
VEN-00749,Laxmi Constructions,REG-RJ-797969,Rajasthan,5,False
VEN-00750,New Age Infrastructure Ltd,REG-GJ-744325,Gujarat,4,False
VEN-00751,Jai Bharat Associates,REG-BR-365793,Bihar,4,False
VEN-00752,Ganesh Builders,REG-MP-614920,Madhya Pradesh,7,False
VEN-00753,Silver Line Constructions,REG-KA-634085,Karnataka,7,False
VEN-00754,Vishwakarma Engineering Works,REG-MP-934494,Madhya Pradesh,6,False
VEN-00755,Shree Sai Constructions,REG-AS-290645,Assam,5,False
VEN-00756,Ganesh Developers,REG-MP-496382,Madhya Pradesh,5,False
VEN-00757,Jai Bharat Contractors,REG-KA-744653,Karnataka,8,False
VEN-00758,Metro Builders,REG-MH-985371,Maharashtra,2,False
VEN-00759,Laxmi Builders,REG-RJ-772302,Rajasthan,2,False
VEN-00760,United Enterprises,REG-GJ-733188,Gujarat,3,False
